,line,season,episode,line_ID
80,"CHANDLER: Ooh, this is a Dear Diary moment.",1,1,101
81,"MONICA: Rach, wait, I can cancel...",1,1,101
82,"RACHEL: Please, no, go, that'd be fine!",1,1,101
83,"MONICA: (TO ROSS) Are, are you okay? I mean, do you want me to stay?",1,1,101
84,ROSS: (CHOKED VOICE) That'd be good...,1,1,101
85,MONICA: (HORRIFIED) Really?,1,1,101
86,"ROSS: (NORMAL VOICE) No, go on! It's Paul the Wine Guy!",1,1,101
87,(A KNOCK AT THE DOOR. MONICA GETS IT; IT'S PAUL),1,1,101
88,"MONICA: Hi, come in! Paul, this is.. (THEY ARE ALL LINED UP NEXT TO THE DOOR)... everybody, everybody, this is Paul.",1,1,101
89,ALL: Hey! Paul! Hi! The Wine Guy! Hey!,1,1,101
90,"CHANDLER: I'm sorry, I didn't catch your name. Paul, was it?",1,1,101
91,MONICA: (SHOWS PAUL IN) Two seconds.,1,1,101
92,"PHOEBE: Ooh, I just pulled out four eyelashes. That can't be good.",1,1,101
93,"ROSS: So Rachel, what're you, uh... what're you up to tonight?",1,1,101
94,"RACHEL: Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",1,1,101
95,"ROSS: Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- (THINKS) -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",1,1,101
96,"CHANDLER: (DEADPAN) Yes, and we're very excited about it. ",1,1,101
97,"RACHEL: Well actually thanks, but I think I'm just gonna hang out here tonight..",1,1,101
98,"ROSS: Okay, sure.",1,1,101
99,"JOEY: Hey Pheebs, you wanna help?",1,1,101
100,"PHOEBE: Oh, I wish I could, but I don't want to.",1,1,101
101,(AD BREAK),1,1,101
102,SCENE 3: ROSS' APARTMENT (THE GUYS ARE ASSEMBLING FURNITURE),1,1,101
103,"ROSS: (SQUATTING AND READING INSTRUCTIONS) I'm supposed to attach a brackety thing to the side things, using a bunch of these little whim guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",1,1,101
104,"(CHANDLER AND JOEY HAVE APPARENTLY FINISHED A BOOKCASE, BUT THERE IS A BIT LEFT OVER)",1,1,101
105,JOEY: What's this?,1,1,101
106,CHANDLER: I have no idea.,1,1,101
107,(JOEY CHECKS ROSS IS NOT LOOKING AND DUMPS IN IN A PLANT POT),1,1,101
108,JOEY: Done with the bookcase!,1,1,101
109,CHANDLER: All finished!,1,1,101
110,"ROSS: (CLUTCHING A BEER CAN AND SNIFFING) This was Carol's favourite beer. She always drank it out of the can, I should have known.",1,1,101
111,"JOEY: Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",1,1,101
112,ROSS: You guys.,1,1,101
113,"CHANDLER: Oh, man.",1,1,101
114,JOEY: You got screwed.,1,1,101
115,(CUT TO MONICA AND PAUL EATING IN A RESTAURANT),1,1,101
116,MONICA: Oh my God!,1,1,101
117,"PAUL: I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",1,1,101
118,"MONICA: My brother's going through that right now, he's such a mess. How did you get through it?",1,1,101
119,"PAUL: Well, you might try accidentally breaking something valuable of hers, say her-",1,1,101
120,MONICA: -leg?,1,1,101
121,"PAUL: (LAUGHING) That's one way! Me, I- I went for the watch.",1,1,101
122,MONICA: You actually broke her watch?,1,1,101
123,"(CUT TO RACHEL IN MONICA'S APARTMENT, TALKING ON THE PHONE AND PACING)",1,1,101
124,"RACHEL: Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- (STOPS TALKING; DIALS A NUMBER ON THE PHONE) Hi, machine cut me off again... anyway...",1,1,101
125,(CUT TO ROSS' APARTMENT) ,1,1,101
126,"ROSS: You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",1,1,101
127,"JOEY: What are you talking about? 'One woman'? That's like saying there's only one flavour of ice cream for you. Lemme tell you something, Ross. There's lots of flavours out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",1,1,101
128,ROSS: I honestly don't know if I'm hungry or horny.,1,1,101
129,CHANDLER: Stay out of my freezer!,1,1,101
130,(CUT TO THE RESTAURANT),1,1,101
131,"PAUL: Ever since she walked out on me, I, uh...",1,1,101
132,"MONICA: What?..... What, you wanna spell it out with noodles?",1,1,101
133,"PAUL: No, it's, it's more of a fifth date kinda revelation.",1,1,101
134,"MONICA: Oh, so there is gonna be a fifth date?",1,1,101
135,PAUL: Isn't there?,1,1,101
136,"MONICA: Yeah... yeah, I think there is. -What were you gonna say?",1,1,101
137,"PAUL: Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. (MONICA TAKES A SIP OF HER DRINK) ...Sexually. ",1,1,101
138,"MONICA: (SPITS OUT HER DRINK IN SHOCK) Oh God, oh God, I am sorry... I am so sorry...",1,1,101
139,PAUL: It's okay...,1,1,101
140,MONICA: Being spit on is probably not what you need right now. Um... how long?,1,1,101
141,PAUL: Two years.,1,1,101
142,MONICA: Wow! I'm glad you smashed her watch! ,1,1,101
143,"PAUL: So you still think you, um... might want that fifth date?",1,1,101
144,"MONICA: (PAUSE)...Yeah. Yeah, I do.",1,1,101
145,(CUT TO RACHEL WATCHING 'JOANIE LOVES CHACHI'),1,1,101
146,"TV: 'I, Joanie, take you, Charles, to be my lawful husband.' 'Do you take...'",1,1,101
147,RACHEL: Oh...see... but Joanie loved Chachi! That's the difference!,1,1,101
148,(CUT TO ROSS'),1,1,101
149,"ROSS: (SCORNFUL) Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you? Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? (GAZES OUT OF THE WINDOW)",1,1,101
150,(CUT TO RACHEL STARING OUT OF HER WINDOW),1,1,101
151,SCENE 4: MONICA + RACHEL'S APARTMENT. RACHEL IS MAKING COFFEE FOR JOEY AND CHANDLER),1,1,101
152,"RACHEL: Isn't this amazing? I mean, I have never made coffee before in my entire life.",1,1,101
153,CHANDLER: That is amazing.,1,1,101
154,"JOEY: Congratulations. And while you're on a roll, if you feel like you gotta make like a Western omelette or something... (JOEY AND CHANDLER TASTE THE COFFEE, GRIMACE, AND POUR IT INTO A PLANT POT) Although actually I'm really not that hungry...",1,1,101
155,(ENTER MONICA FROM HER ROOM),1,1,101
156,ALL: Morning. Good morning.,1,1,101
157,(ENTER PAUL FROM MONICA'S ROOM) ,1,1,101
158,PAUL: Morning.,1,1,101
159,"JOEY: Morning, Paul.",1,1,101
160,"RACHEL: Hello, Paul.",1,1,101
161,"CHANDLER: Hi, Paul, is it?",1,1,101
162,(MONICA AND PAUL WALK TO THE DOOR AND TALK IN A LOW VOICE SO THE OTHERS CAN'T HEAR. THE OTHERS SHUNT MONICA'S TABLE CLOSER TO TO THE DOOR SO THEY CAN),1,1,101
163,MONICA: I had a really great time last night.,1,1,101
164,PAUL: Thank you. Thank you so much. ,1,1,101
165,MONICA: We'll talk later.,1,1,101
166,PAUL: Yeah. (THEY KISS) Thank you. (EXIT PAUL),1,1,101
167,JOEY: That wasn't a real date?! What the hell do you do on a real date?,1,1,101
168,"MONICA: Shut up, and put my table back.",1,1,101
169,ALL: Okayyy! (THEY DO),1,1,101
170,"CHANDLER: All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference... ",1,1,101
171,"RACHEL: So, like, you guys all have jobs?",1,1,101
172,"MONICA: Yeah, we all have jobs. See, that's how we buy stuff.",1,1,101
173,"JOEY: Yeah, I'm an actor.",1,1,101
174,RACHEL: Wow! Would I have seen you in anything?,1,1,101
175,JOEY: I doubt it. Mostly regional work.,1,1,101
176,"MONICA: Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio.",1,1,101
177,"CHANDLER: 'Look, Gippetto, I'm a real live boy.'",1,1,101
178,JOEY: I will not take this abuse. (WALKS TO DOOR AND OPENS IT TO LEAVE),1,1,101
179,"CHANDLER: You're right, I'm sorry. (BURSTS INTO SONG AND DANCES OUT OF THE DOOR) 'Once I was a wooden boy, a little wooden boy..'",1,1,101
180,(EXIT JOEY AND CHANDLER),1,1,101
181,,1,1,101
182,,1,1,101
183,,1,1,101
184,MONICA: So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,1,1,101
185,RACHEL: I can see that. You look like you slept with a hanger in your mouth.,1,1,101
186,"MONICA: I know, he's just so, so... Do you remember you and Tony DeMarco?",1,1,101
187,"RACHEL: Oh, yeah.",1,1,101
188,"MONICA: Well, it's like that. With feelings.",1,1,101
189,RACHEL: Oh wow. Are you in trouble.,1,1,101
190,"MONICA: Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",1,1,101
191,"RACHEL: Oh, look, wish me luck!",1,1,101
192,MONICA: What for?,1,1,101
193,RACHEL: I'm gonna go get one of those job things.,1,1,101
194,(EXIT MONICA),1,1,101
195,"SCENE 5: IRIDIUM (JUST MONICA, WORKING)",1,1,101
196,(ENTER FRANNIE),1,1,101
197,"FRANNIE: Hey, Monica!",1,1,101
198,"MONICA: Hey, welcome back! How was Florida?",1,1,101
199,"FRANNIE: You had s*x, didn't you?",1,1,101
200,MONICA: How do you do that?,1,1,101
201,FRANNIE: So? Who?,1,1,101
202,MONICA: You know Paul?,1,1,101
203,"FRANNIE: Paul the Wine Guy? Oh yeah, I know Paul.",1,1,101
204,MONICA: You mean you know Paul like I know Paul?,1,1,101
205,"FRANNIE: Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",1,1,101
206,(CUT TO THE GANG MINUS RACHEL AT CENTRAL PERK),1,1,101
207,JOEY: (PERCHED ON THE SIDE OF THE SOFA)Of course it was a line!,1,1,101
208,"MONICA: Why?! Why? Why, why would anybody do something like that?",1,1,101
209,ROSS: I assume we're looking for an answer more sophisticated than 'to get you into bed'.,1,1,101
210,MONICA: Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,1,1,101
211,"PHOEBE: All right, c'mere, gimme your feet. (SHE MASSAGES THEM)",1,1,101
212,"MONICA: I just thought he was nice, y'know?",1,1,101
213,JOEY: (BURSTS OUT LAUGHING AGAIN) I can't believe you didn't know it was a line!,1,1,101
214,(MONICA PUSHES HIM OFF THE SOFA. ENTER RACHEL WITH SHOPPING),1,1,101
215,RACHEL: Guess what?,1,1,101
216,ROSS: You got a job?,1,1,101
217,RACHEL: Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,1,1,101
218,CHANDLER: And yet you're surprisingly upbeat.,1,1,101
219,"RACHEL: You would be too if you found John and David boots on sale, fifty percent off!",1,1,101
220,"CHANDLER: Oh, how well you know me...",1,1,101
221,"RACHEL: They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",1,1,101
222,MONICA: How'd you pay for them?,1,1,101
223,"RACHEL: Uh, credit card.",1,1,101
224,MONICA: And who pays for that?,1,1,101
225,RACHEL: Um... my... father.,1,1,101
226,"(CUT TO THE GANG AT MONICA + RACHEL'S, SITTING ROUND A TABLE. ON THE TABLE ARE RACHEL'S CREDIT CARDS AND A PAIR OF SCISSORS)",1,1,101
227,"MONICA: C'mon, you can't live off your parents your whole life.",1,1,101
228,RACHEL: I know that. That's why I was getting married.,1,1,101
229,"PHOEBE: Give her a break, it's hard being on your own for the first time. ",1,1,101
230,RACHEL: Thank you.,1,1,101
231,"PHOEBE: You're welcome. I remember when I first came to this city. I was fourteen. My mom had just k*lled herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windows outside port authority, and then he k*lled himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",1,1,101
232,(A PAUSE),1,1,101
233,ROSS: The word you're looking for is 'Anyway'...,1,1,101
234,MONICA: You ready?,1,1,101
235,RACHEL: I don't think so.,1,1,101
236,"ROSS: C'mon, cut. Cut, cut, cut,...",1,1,101
237,"ALL: Cut, cut, cut, cut, cut, cut, cut... (SHE CUTS THEM ALL UP. THEY CHEER)",1,1,101
238,MONICA: Welcome to the real world! It sucks. You're gonna love it!,1,1,101
239,"(CUT TO SAME SET. MONICA, RACHEL AND ROSS HAVE JUST FINISHED WATCHING A FILM)",1,1,101
240,"MONICA: Well, that's it. ",1,1,101
241,RACHEL: (TO ROSS) You gonna crash on the couch?,1,1,101
242,"ROSS: No. No, I gotta go home sometime.",1,1,101
243,MONICA: You be okay?,1,1,101
244,ROSS: Yeah.,1,1,101
245,"RACHEL: Hey Mon, look what I just found on the floor. (MON SMILES) What?",1,1,101
246,"MONICA: That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody. (STOMPS ON PAUL'S WATCH AND GOES TO HER ROOM)",1,1,101
247,"ROSS: Mmm. (THEY BOTH REACH FOR THE LAST COOKIE) Oh, no-",1,1,101
248,RACHEL: Sorry-,1,1,101
249,"ROSS: No no no, go-",1,1,101
250,"RACHEL: No, you have it, really, I don't want it-",1,1,101
251,ROSS: Split it?,1,1,101
252,RACHEL: Okay.,1,1,101
253,"ROSS: Okay. (THEY SPLIT IT) You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",1,1,101
254,RACHEL: I knew.,1,1,101
255,ROSS: You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,1,1,101
256,RACHEL: I did.,1,1,101
257,"ROSS: Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",1,1,101
258,"RACHEL: Yeah, maybe...",1,1,101
259,"ROSS: Okay... okay, maybe I will...",1,1,101
260,RACHEL: Goodnight.,1,1,101
261,ROSS: Goodnight.,1,1,101
262,"(EXIT RACHEL TO HER BEDROOM. ENTER MONICA IN DRESSING GOWN, AS ROSS IS LEAVING)",1,1,101
263,"MONICA: See ya.... Waitwait, what's with you?",1,1,101
264,ROSS: I just grabbed a spoon. (EXIT ROSS),1,1,101
265,(CLOSING CREDITS),1,1,101
266,CREDITS SCENE: CENTRAL PERK,1,1,101
267,JOEY: I can't believe what I'm hearing here.,1,1,101
268,PHOEBE: (SINGS) I can't believe what I'm hearing here...,1,1,101
269,MONICA: What? I-I said you had a-,1,1,101
270,PHOEBE: (SINGS) What I said...,1,1,101
271,MONICA: (TO PHOEBE) Would you stop?,1,1,101
272,"PHOEBE: Oh, was I doing it again?",1,1,101
273,RACHEL: (WALKS UP WITH A POT OF COFFEE) Would anybody like more coffee?,1,1,101
274,"CHANDLER: Did you make it, or are you just serving it?",1,1,101
275,RACHEL: I'm just serving it.,1,1,101
276,"ALL: Yeah. Yeah, I'll have a cup of coffee.",1,1,101
277,"CHANDLER: Kids, new dream... I'm in Las Vegas. I'm Liza Minelli-
END",1,1,101
278,"Originally written by Marta Kauffman and David Crane.
Transcribed by guineapig.
PRE-INTRO SCENE: CENTRAL PERK",1,2,102
279,(ALL PRESENT),1,2,102
280,"MONICA: What you guys don't understand is, for us, kissing is as important as any part of it.",1,2,102
281,"JOEY: Yeah, right!.......Y'serious?",1,2,102
282,"PHOEBE: Oh, yeah! ",1,2,102
283,RACHEL: Everything you need to know is in that first kiss.,1,2,102
284,MONICA: Absolutely.,1,2,102
285,"CHANDLER: Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",1,2,102
286,"ROSS: Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",1,2,102
287,"CHANDLER: The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",1,2,102
288,"RACHEL: Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",1,2,102
289,JOEY: (PAUSE)....Are we still talking about s*x?,1,2,102
290,"SCENE 1: MUSEUM OF PREHISTORIC HISTORY (ROSS AND MARSHA ARE SETTING UP AN EXHIBIT, WHICH INCLUDES SOME MANNEQUINS OF CAVE PEOPLE)",1,2,102
291,"ROSS: No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",1,2,102
292,"MARSHA: Well, she has issues.",1,2,102
293,ROSS: Does she.,1,2,102
294,"MARSHA: He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",1,2,102
295,"ROSS: Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",1,2,102
296,"MARSHA: Speaking of issues, isn't that your ex-wife?",1,2,102
297,"(CAROL HAS ENTERED BEHIND THEM, OUTSIDE THE EXHIBIT)",1,2,102
298,ROSS: (TRYING TO IGNORE HER) No. No.,1,2,102
299,"MARSHA: Yes, it is. Carol! Hi! ",1,2,102
300,"ROSS: Okay, okay, yes, it is. (WAVING) How about I'll, uh, catch up with you in the Ice Age.",1,2,102
301,(EXIT MARSHA. ROSS WAVES AT CAROL TO COME INTO THE EXHIBIT),1,2,102
302,ROSS:Hi.,1,2,102
303,CAROL: So.,1,2,102
304,"ROSS: You look great. I, uh... I hate that.",1,2,102
305,CAROL: Sorry. You look good too.,1,2,102
306,"ROSS: Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",1,2,102
307,CAROL: A lesbian?,1,2,102
308,"ROSS: Well... you never know. How's, um.. how's the family?",1,2,102
309,"CAROL: Marty's still totally paranoid. Oh, and, uh-",1,2,102
310,"ROSS: Why- why are you here, Carol?",1,2,102
311,CAROL: I'm pregnant.,1,2,102
312,ROSS: Pregnant?!,1,2,102
313,"(CUT TO MONICA AND RACHEL'S APARTMENT, WHERE CHANDLER, JOEY, PHOEBE AND MONICA ARE WATCHING 'THREE'S COMPANY')",1,2,102
314,"CHANDLER: Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",1,2,102
315,PHOEBE:...Then I've already seen this one! (TURNS OFF TV),1,2,102
316,MONICA: (TAKING DRINK FROM JOEY) Are you through with that?,1,2,102
317,"JOEY: Yeah, sorry, the swallowing slowed me down.",1,2,102
318,MONICA: Whose little ball of paper is this?!,1,2,102
319,"CHANDLER: Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... (OFF MONICA'S LOOK) ...now I wish I was dead.",1,2,102
320,(MONICA STARTS TO FLUFF A PILLOW),1,2,102
321,"PHOEBE: She's already fluffed that pillow... Monica, you know, you've already fluffed that- (MON GIVES HER A LOOK) -but, it's fine!",1,2,102
322,"MONICA: Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",1,2,102
323,"CHANDLER: Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",1,2,102
324,"PHOEBE: Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.",1,2,102
325,"JOEY: Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.",1,2,102
326,"MONICA: That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born. ",1,2,102
327,"CHANDLER: (AT WINDOW) Ew, ew, ew, ew ew ew ew ew!",1,2,102
328,MONICA: What? ,1,2,102
329,CHANDLER: Ugly Naked Guy got a Thighmaster!,1,2,102
330,ALL: Eeaagh!,1,2,102
331,(ENTER RACHEL FROM HER BEDROOM),1,2,102
332,RACHEL: Has anybody seen my engagement ring?,1,2,102
333,"PHOEBE: Yeah, it's beautiful.",1,2,102
334,"RACHEL: Oh God, oh God, oh God oh God oh God oh God.... (LOOKING UNDER CUSHIONS)",1,2,102
335,"PHOEBE: No, look, don't touch that!",1,2,102
336,"RACHEL: Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...",1,2,102
337,"MONICA: Easy Rach, we'll find it. (TO ALL) Won't we!",1,2,102
338,CHANDLER+JOEY: Oh! Yeah!,1,2,102
339,"JOEY: Alright, when'd'ya have it on last?",1,2,102
340,PHOEBE: Doy! Probably right before she lost it!,1,2,102
341,CHANDLER: You don't get a lot of 'doy' these days...,1,2,102
342,"RACHEL: I know I had it this morning, and I know I had it when I was in the kitchen with...",1,2,102
